Square_ID,target_2019
4e3c3896-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c3897-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c3898-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c3899-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c389a-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c389b-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c389c-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c389d-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c389e-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c389f-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38a0-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38a1-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38a2-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38a3-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38a4-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38a5-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38a6-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38a7-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38a8-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38a9-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38aa-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38ab-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38ac-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38ad-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38ae-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38af-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38b0-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38b1-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38b2-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38b3-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38b4-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38b5-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38b6-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38b7-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38b8-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38b9-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38ba-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38bb-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38bc-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38bd-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38be-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38bf-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38c0-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38c1-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38c2-14ce-11ea-bce5-f49634744a41,0.00E+00
4e3c38c3-14ce-11ea-bce5-f49634744a41,0.00E+00
